movieId,title
24,Powder
36,Dead Man Walking
40,"Cry, the Beloved Country"
54,"Big Green, The"
71,Fair Game
88,Black Sheep
98,Shopping
103,Unforgettable
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)"
128,Jupiter's Wife
135,Down Periscope
145,Bad Boys
150,Apollo 13
165,Die Hard: With a Vengeance
187,Party Girl
191,"Scarlet Letter, The"
200,"Tie That Binds, The"
202,Total Eclipse
214,Before the Rain (Pred dozhdot)
227,Drop Zone
251,"Hunted, The"
254,Jefferson in Paris
266,Legends of the Fall
271,Losing Isaiah
275,Mixed Nuts
279,My Family
306,Three Colors: Red (Trois couleurs: Rouge)
314,"Secret of Roan Inish, The"
324,"Sum of Us, The"
343,"Baby-Sitters Club, The"
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)"
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
378,Speechless
381,When a Man Loves a Woman
384,Bad Company
424,Blue Chips
438,"Cowboy Way, The"
439,Dangerous Game
467,Live Nude Girls
475,In the Name of the Father
477,What's Love Got to Do with It?
479,Judgment Night
482,Killing Zoe
485,Last Action Hero
488,M. Butterfly
492,Manhattan Murder Mystery
495,In the Realm of the Senses (Ai no corrida)
503,"New Age, The"
506,Orlando
511,"Program, The"
513,Radioland Murders
547,Surviving the Game
573,"Ciao, Professore! (Io speriamo che me la cavo)"
574,Spanking the Monkey
579,"Escort, The (Scorta, La)"
586,Home Alone
615,Bread and Chocolate (Pane e cioccolata)
617,"Flower of My Secret, The (La flor de mi secreto)"
619,Ed
633,Denise Calls Up
648,Mission: Impossible
652,"301, 302 (301/302)"
656,Eddie
665,Underground
674,Barbarella
691,Mrs. Winterbourne
696,Butterfly Kiss
757,Ashes of Time (Dung che sai duk)
778,Trainspotting
785,Kingpin
789,"I, the Worst of All (Yo, la peor de todas)"
803,Walking and Talking
805,"Time to Kill, A"
813,Larger Than Life
831,Stonewall
834,Phat Beach
839,"Crow: City of Angels, The"
867,Carpool
877,Girls Town
881,First Kid
884,Sweet Nothing
886,Bulletproof
887,Talk of Angels
897,For Whom the Bell Tolls
924,2001: A Space Odyssey
929,Foreign Correspondent
934,Father of the Bride
939,"Reluctant Debutante, The"
